trade_dttm,trader_id,trader_name,side,amount,price,value,event_id,market_title,market_subtitle,outcome,market_icon,trader_tags
2025-05-30 14:28:39,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,60.0,0.3,18.0,25089,Ethereum price on May 30?,2500–2600,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 14:28:39,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,60.0,0.7,42.0,25089,Ethereum price on May 30?,2600–2700,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 14:21:15,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,10.0,0.99,9.9,25089,Ethereum price on May 30?,<2500,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 14:21:15,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,10.0,0.33999999999999997,3.3999999999999995,25089,Ethereum price on May 30?,2500–2600,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 14:21:15,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,10.0,0.6599999999999999,6.6,25089,Ethereum price on May 30?,2600–2700,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 14:16:29,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,60.0,0.993,59.58,25089,Ethereum price on May 30?,<2500,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 14:16:29,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,60.0,0.33999999999999997,20.4,25089,Ethereum price on May 30?,2500–2600,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 14:16:29,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,60.0,0.66,39.6,25089,Ethereum price on May 30?,2600–2700,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 13:50:19,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,10.0,0.93,9.3,25323,Largest company end of July?,Apple,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/largest-company-eoy-KS99l6lbxfCc.jpg,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 13:44:01,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,10.0,0.62,6.2,25229,'Karate Kid: Legends' Opening Weekend Box Office,<$20m,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/karate-kid-legends-opening-weekend-box-office-kqFqqTpJB50J.jpg,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 13:44:01,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,10.0,0.954,9.54,25229,'Karate Kid: Legends' Opening Weekend Box Office,$26m–$29m,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/karate-kid-legends-opening-weekend-box-office-kqFqqTpJB50J.jpg,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 13:44:01,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,10.0,0.9789999999999999,9.79,25229,'Karate Kid: Legends' Opening Weekend Box Office,$29m–$32m,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/karate-kid-legends-opening-weekend-box-office-kqFqqTpJB50J.jpg,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 13:43:59,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,10.0,0.63,6.3,25229,'Karate Kid: Legends' Opening Weekend Box Office,$20m–$23m,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/karate-kid-legends-opening-weekend-box-office-kqFqqTpJB50J.jpg,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 13:43:59,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,10.0,0.8220000000000001,8.22,25229,'Karate Kid: Legends' Opening Weekend Box Office,$23m–$26m,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/karate-kid-legends-opening-weekend-box-office-kqFqqTpJB50J.jpg,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 13:43:59,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,10.0,0.9880000000000001,9.88,25229,'Karate Kid: Legends' Opening Weekend Box Office,$32m+,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/karate-kid-legends-opening-weekend-box-office-kqFqqTpJB50J.jpg,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 13:39:05,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,100.0,0.69,69.0,24087,Fed decision in September?,25 bps decrease,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/jerome+powell+glasses1.png,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 13:37:15,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,130.0,0.9770000000000001,127.01,21255,Fed decision in July?,50+ bps decrease,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/jerome+powell+glasses1.png,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 13:37:15,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,130.0,0.21,27.3,21255,Fed decision in July?,No change,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/jerome+powell+glasses1.png,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 13:37:13,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,130.0,0.987,128.31,21255,Fed decision in July?,25+ bps increase,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/jerome+powell+glasses1.png,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 13:37:13,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,130.0,0.82,106.6,21255,Fed decision in July?,25 bps decrease,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/jerome+powell+glasses1.png,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
